time,tank_id,tank_name,tank_color,tank_awards_html,kills,deactivated,time_played,tank_cat,time_played_hours,time_played_mins,time_played_secs,time_played_decimal
2017-10-18 08:00:03.622666,48264,BUTTERCUP,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a2-1""></span><span class=""awards-sprite a5-2""></span>",47,21,73:44:30,0,73,44,30,73.7416666667
2017-10-18 08:00:03.622666,47835,CHRYSANTHEMUM,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a1-1""></span><span class=""awards-sprite a5-3""></span><span class=""awards-sprite a7-1""></span>",16,7,12:25:27,1,12,25,27,12.4241666667
2017-10-18 08:00:03.622666,48240,terrestrial TULIP,purple,"<span class=""awards-sprite a0-1""></span><span class=""awards-sprite a5-3""></span>",2,1,1:12:23,1,1,12,23,1.20638888889
2017-10-18 08:00:03.622666,50618,VIOLET,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a5-2""></span>",7,3,13:31:29,1,13,31,29,13.5247222222
2017-10-18 08:00:03.622666,48103,DAISY,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a5-2""></span>",15,6,17:2:39,0,17,2,39,17.0441666667
2017-10-18 08:00:03.622666,47786,ORCHID,red,"<span class=""awards-sprite a0-3""></span>",47,7,20:2:55,0,20,2,55,20.0486111111
2017-10-18 08:00:03.622666,50111,luminosity LOTUS,purple,"<span class=""awards-sprite a5-1""></span>",6,2,0:55:56,1,0,55,56,0.932222222222
2017-10-18 08:00:03.622666,48059,GLADIOLUS,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a2-2""></span><span class=""awards-sprite a3-1""></span><span class=""awards-sprite a5-3""></span>",95,68,109:30:47,1,109,30,47,109.513055556
2017-10-18 08:00:03.622666,47770,LILAC,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a5-2""></span>",38,11,22:42:20,0,22,42,20,22.7055555556
2017-10-18 08:00:03.622666,50745,LOTUS,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a2-1""></span><span class=""awards-sprite a3-1""></span><span class=""awards-sprite a4-3""></span><span class=""awards-sprite a5-2""></span>",50,25,184:0:20,0,184,0,20,184.005555556
2017-10-18 08:00:03.622666,53932,MAGNOLIA,red,"<span class=""awards-sprite a0-2""></span><span class=""awards-sprite a5-2""></span>",34,15,17:7:24,0,17,7,24,17.1233333333
2017-10-18 08:00:03.622666,52973,NARCISSUS,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a1-1""></span><span class=""awards-sprite a5-2""></span>",120,16,22:53:49,0,22,53,49,22.8969444444
2017-10-18 08:00:03.622666,48665,TRILLIUM,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a3-1""></span><span class=""awards-sprite a4-3""></span><span class=""awards-sprite a5-2""></span><span class=""awards-sprite a7-1""></span>",42,16,122:20:00,0,122,20,0,122.333333333
2017-10-18 08:00:03.622666,53952,MALVA,red,"<span class=""awards-sprite a0-3""></span>",12,0,,0,0,0,0,0.0
2017-10-18 08:00:03.622666,48641,DAHLIA,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a1-1""></span><span class=""awards-sprite a3-2""></span><span class=""awards-sprite a5-2""></span>",156,16,212:0:21,0,212,0,21,212.005833333
2017-10-18 08:00:03.622666,45859,HIBISCUS,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a1-1""></span><span class=""awards-sprite a2-1""></span><span class=""awards-sprite a3-1""></span><span class=""awards-sprite a5-1""></span>",103,34,100:19:41,0,100,19,41,100.328055556
2017-10-18 08:00:03.622666,45920,TULIP,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a1-1""></span><span class=""awards-sprite a2-1""></span><span class=""awards-sprite a3-1""></span><span class=""awards-sprite a5-1""></span>",183,42,109:43:43,0,109,43,43,109.728611111
2017-10-18 08:00:03.622666,45863,ROSE,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a1-1""></span><span class=""awards-sprite a2-2""></span><span class=""awards-sprite a3-2""></span><span class=""awards-sprite a4-3""></span><span class=""awards-sprite a5-2""></span><span class=""awards-sprite a7-1""></span><span class=""awards-sprite a8-1""></span>",158,88,356:6:25,0,356,6,25,356.106944444
2017-10-18 08:00:03.622666,49521,HYDRANGEA,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a2-1""></span><span class=""awards-sprite a3-2""></span><span class=""awards-sprite a4-3""></span><span class=""awards-sprite a5-3""></span>",57,30,203:30:50,0,203,30,50,203.513888889
2017-10-18 08:00:03.622666,49974,DESERT ROSE,orange,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a5-3""></span>",8,4,3:48:53,1,3,48,53,3.81472222222
2017-10-18 08:00:03.622666,48487,JASMINE,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a5-1""></span>",23,10,15:44:44,1,15,44,44,15.7455555556
2017-10-18 08:00:03.622666,49966,SILENT LOTUS,orange,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a5-2""></span>",7,7,6:45:26,1,6,45,26,6.75722222222
2017-10-18 08:00:03.622666,48222,radiant ROSE,purple,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a5-2""></span>",5,3,2:46:43,1,2,46,43,2.77861111111
2017-10-18 08:00:03.622666,575,- Mercury -,orange,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a1-3""></span><span class=""awards-sprite a2-3""></span><span class=""awards-sprite a3-3""></span><span class=""awards-sprite a5-2""></span><span class=""awards-sprite a7-1""></span>",5418,117,556:42:01,2,556,42,1,556.700277778
2017-10-18 08:00:03.622666,6281,zubziLLa,orange,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a1-2""></span><span class=""awards-sprite a2-3""></span><span class=""awards-sprite a3-3""></span><span class=""awards-sprite a4-3""></span><span class=""awards-sprite a5-3""></span><span class=""awards-sprite a8-1""></span>",319,229,571:24:50,2,571,24,50,571.413888889
2017-10-18 08:00:03.622666,38424,packattack12,orange,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a1-3""></span><span class=""awards-sprite a2-3""></span><span class=""awards-sprite a3-3""></span><span class=""awards-sprite a5-2""></span><span class=""awards-sprite a7-1""></span>",2036,164,716:0:19,2,716,0,19,716.005277778
2017-10-18 08:00:03.622666,10502,Vicodin,blue,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a1-2""></span><span class=""awards-sprite a2-2""></span><span class=""awards-sprite a3-2""></span>",274,77,337:42:08,2,337,42,8,337.702222222
2017-10-18 08:00:03.622666,850,AMBUSH,red,"<span class=""awards-sprite a0-3""></span><span class=""awards-sprite a1-3""></span><span class=""awards-sprite a2-3""></span><span class=""awards-sprite a3-3""></span><span class=""awards-sprite a4-3""></span><span class=""awards-sprite a5-3""></span>",2815,299,860:58:22,2,860,58,22,860.972777778
